product_name,macro_group,group_label,likes_rating,likes_n_reviews,likes_pct_positive,likes_pct_negative,avg_overall_rating,dislikes_rating,dislikes_n_reviews,dislikes_pct_positive,dislikes_pct_negative,net_rating,sentiment_gap
Acumatica,implementation_support,Implementation & Customer Support,4.82,1.0,100.0,0.0,5.0,,,,,3.91,1.82
Acumatica,system_architecture_customization,System Architecture & Customization,4.69,12.0,91.7,0.0,4.21,,,,,3.84,1.69
Acumatica,system_integration_apis,System Integration & APIs,4.68,10.0,90.0,0.0,4.4,,,,,3.84,1.68
Acumatica,system_administration_governance,System Administration & Governance,4.52,3.0,66.7,0.0,4.33,,,,,3.76,1.52
Acumatica,user_experience_usability,User Experience & System Usability,4.42,58.0,86.2,0.0,4.58,,,,,3.71,1.42
Acumatica,inventory_supply_chain,Inventory & Supply Chain Management,4.38,12.0,83.3,0.0,4.42,,,,,3.69,1.38
Acumatica,product_evolution,Product Evolution & Updates,4.31,2.0,50.0,0.0,4.75,,,,,3.66,1.31
Acumatica,mobile_web_access,Mobile & Web Access,4.28,1.0,100.0,0.0,5.0,,,,,3.64,1.28
Acumatica,multi_entity_currency,,,,,,,4.16,1.0,100.0,0.0,3.58,1.16
Acumatica,payroll_hr_management,Payroll & HR Management,3.98,2.0,50.0,0.0,4.5,,,,,3.49,0.98
Acumatica,advanced_analytics_ai,Advanced Analytics & AI,3.94,1.0,100.0,0.0,4.5,,,,,3.47,0.94
Acumatica,financial_reporting_analytics,Financial Reporting & Business Intelligence,4.67,9.0,88.9,0.0,4.17,2.28,13.0,0.0,53.8,3.47,0.95
Acumatica,core_financial_accounting,Core Financial & Accounting,3.88,10.0,40.0,0.0,3.9,,,,,3.44,0.88
Acumatica,sales_order_management,Sales & Order Management,3.86,4.0,25.0,0.0,4.25,2.8,1.0,0.0,0.0,3.33,0.66
Acumatica,implementation_complexity,,,,,,,3.02,44.0,47.7,50.0,3.01,0.02
Acumatica,accounts_payable_invoice_processing,,,,,,,2.66,6.0,16.7,50.0,2.83,-0.34
Acumatica,specialized_modules,,,,,,,2.66,13.0,30.8,53.8,2.83,-0.34
Acumatica,financial_accounting_core,,,,,,,2.54,9.0,0.0,44.4,2.77,-0.46
Acumatica,banking_cash_management,,,,,,,2.53,2.0,0.0,50.0,2.76,-0.47
Acumatica,user_interface_navigation,,,,,,,2.31,5.0,40.0,60.0,2.66,-0.69
Acumatica,customer_support_service,,,,,,,2.3,5.0,20.0,80.0,2.65,-0.7
Acumatica,customization_integration,,,,,,,2.02,16.0,18.8,75.0,2.51,-0.98
Acumatica,system_access_security,,,,,,,1.93,1.0,0.0,100.0,2.46,-1.07
Acumatica,mobile_remote_access,,,,,,,1.9,1.0,0.0,100.0,2.45,-1.1
Acumatica,user_training_learning,,,,,,,1.35,3.0,0.0,100.0,2.17,-1.65
Acumatica,system_performance_reliability,,,,,,,1.16,2.0,0.0,100.0,2.08,-1.84
Certinia,sales_order_management,Sales & Order Management,4.04,5.0,40.0,0.0,4.1,3.97,1.0,0.0,0.0,4.0,2.01
Certinia,user_experience_usability,User Experience & System Usability,4.99,1.0,100.0,0.0,4.0,,,,,4.0,1.99
Certinia,product_evolution,Product Evolution & Updates,4.85,1.0,100.0,0.0,4.5,,,,,3.92,1.85
Certinia,advanced_analytics_ai,Advanced Analytics & AI,4.79,2.0,100.0,0.0,4.75,,,,,3.9,1.79
Certinia,system_integration_apis,System Integration & APIs,4.56,10.0,80.0,0.0,3.8,,,,,3.78,1.56
Certinia,core_financial_accounting,Core Financial & Accounting,4.24,1.0,100.0,0.0,3.5,,,,,3.62,1.24
Certinia,inventory_supply_chain,Inventory & Supply Chain Management,4.2,3.0,66.7,0.0,3.5,,,,,3.6,1.2
Certinia,customization_integration,,,,,,,4.01,2.0,50.0,0.0,3.5,1.01
Certinia,user_training_learning,,,,,,,3.76,2.0,50.0,50.0,3.38,0.76
Certinia,system_performance_reliability,,,,,,,3.53,2.0,50.0,50.0,3.26,0.53
Certinia,financial_reporting_analytics,Financial Reporting & Business Intelligence,4.62,2.0,100.0,0.0,4.25,1.56,4.0,0.0,100.0,3.09,0.18
Certinia,financial_accounting_core,,,,,,,2.62,5.0,0.0,20.0,2.81,-0.38
Certinia,specialized_modules,,,,,,,2.6,1.0,100.0,0.0,2.8,-0.4
Certinia,customer_support_service,,,,,,,2.51,3.0,33.3,66.7,2.76,-0.49
Certinia,implementation_complexity,,,,,,,1.63,5.0,0.0,100.0,2.32,-1.37
Intuit Enterprise Suite,system_integration_apis,System Integration & APIs,4.86,1.0,100.0,0.0,5.0,,,,,3.93,1.86
Intuit Enterprise Suite,system_administration_governance,System Administration & Governance,4.56,1.0,100.0,0.0,5.0,,,,,3.78,1.56
Intuit Enterprise Suite,system_performance_reliability,,,,,,,4.45,1.0,100.0,0.0,3.72,1.45
Intuit Enterprise Suite,sales_order_management,,,,,,,4.02,1.0,100.0,0.0,3.51,1.02
Intuit Enterprise Suite,inventory_supply_chain,Inventory & Supply Chain Management,3.95,1.0,100.0,0.0,4.0,,,,,3.48,0.95
Intuit Enterprise Suite,core_financial_accounting,Core Financial & Accounting,3.53,3.0,33.3,0.0,4.5,,,,,3.26,0.53
Intuit Enterprise Suite,financial_reporting_analytics,,,,,,,3.53,1.0,0.0,0.0,3.26,0.53
Intuit Enterprise Suite,customer_support_service,,,,,,,1.46,1.0,0.0,100.0,2.23,-1.54
Intuit Enterprise Suite,specialized_modules,,,,,,,1.35,1.0,0.0,100.0,2.17,-1.65
Microsoft Dynamics 365,user_experience_usability,User Experience & System Usability,4.94,2.0,100.0,0.0,4.5,,,,,3.97,1.94
Microsoft Dynamics 365,system_integration_apis,System Integration & APIs,4.62,19.0,94.7,5.3,4.21,,,,,3.81,1.62
Microsoft Dynamics 365,system_architecture_customization,System Architecture & Customization,4.61,3.0,100.0,0.0,4.0,,,,,3.8,1.61
Microsoft Dynamics 365,inventory_supply_chain,Inventory & Supply Chain Management,4.4,10.0,60.0,0.0,4.6,,,,,3.7,1.4
Microsoft Dynamics 365,system_administration_governance,System Administration & Governance,4.3,1.0,100.0,0.0,4.5,,,,,3.65,1.3
Microsoft Dynamics 365,core_financial_accounting,Core Financial & Accounting,4.13,8.0,62.5,0.0,4.19,,,,,3.56,1.13
Microsoft Dynamics 365,advanced_analytics_ai,Advanced Analytics & AI,4.09,1.0,100.0,0.0,5.0,,,,,3.54,1.09
Microsoft Dynamics 365,sales_order_management,Sales & Order Management,3.87,1.0,100.0,0.0,2.5,,,,,3.44,0.87
Microsoft Dynamics 365,financial_reporting_analytics,Financial Reporting & Business Intelligence,4.51,17.0,94.1,0.0,4.15,1.46,1.0,0.0,100.0,2.98,-0.03
Microsoft Dynamics 365,financial_accounting_core,,,,,,,2.93,3.0,0.0,0.0,2.96,-0.07
Microsoft Dynamics 365,customer_support_service,,,,,,,2.79,2.0,50.0,50.0,2.9,-0.21
Microsoft Dynamics 365,accounts_payable_invoice_processing,,,,,,,2.56,5.0,40.0,60.0,2.78,-0.44
Microsoft Dynamics 365,crm_customer_management,,,,,,,2.56,9.0,0.0,11.1,2.78,-0.44
Microsoft Dynamics 365,user_interface_navigation,,,,,,,2.47,2.0,50.0,50.0,2.74,-0.53
Microsoft Dynamics 365,mobile_remote_access,,,,,,,2.35,1.0,0.0,0.0,2.68,-0.65
Microsoft Dynamics 365,user_training_learning,,,,,,,2.31,6.0,33.3,66.7,2.66,-0.69
Microsoft Dynamics 365,implementation_complexity,,,,,,,2.21,11.0,18.2,81.8,2.6,-0.79
Microsoft Dynamics 365,specialized_modules,,,,,,,2.15,4.0,0.0,50.0,2.58,-0.85
Microsoft Dynamics 365,system_performance_reliability,,,,,,,1.99,1.0,0.0,100.0,2.5,-1.01
Microsoft Dynamics 365,customization_integration,,,,,,,1.39,10.0,10.0,90.0,2.19,-1.61
Oracle NetSuite,small_business_focus,Small Business Suitability,4.9,2.0,100.0,0.0,3.0,,,,,3.95,1.9
Oracle NetSuite,mobile_web_access,Mobile & Web Access,4.89,2.0,100.0,0.0,5.0,,,,,3.94,1.89
Oracle NetSuite,system_integration_apis,System Integration & APIs,4.86,41.0,97.6,0.0,4.29,,,,,3.93,1.86
Oracle NetSuite,advanced_analytics_ai,Advanced Analytics & AI,4.84,16.0,100.0,0.0,4.41,,,,,3.92,1.84
Oracle NetSuite,sales_order_management,Sales & Order Management,4.22,18.0,72.2,0.0,4.42,3.62,14.0,21.4,0.0,3.92,1.84
Oracle NetSuite,system_architecture_customization,System Architecture & Customization,4.83,38.0,97.4,0.0,4.11,,,,,3.92,1.83
Oracle NetSuite,implementation_support,Implementation & Customer Support,4.63,20.0,100.0,0.0,4.38,,,,,3.82,1.63
Oracle NetSuite,user_experience_usability,User Experience & System Usability,4.63,53.0,84.9,0.0,4.01,,,,,3.82,1.63
Oracle NetSuite,product_evolution,Product Evolution & Updates,4.4,2.0,50.0,0.0,4.0,,,,,3.7,1.4
Oracle NetSuite,system_administration_governance,System Administration & Governance,4.32,25.0,72.0,0.0,3.86,,,,,3.66,1.32
Oracle NetSuite,core_financial_accounting,Core Financial & Accounting,4.13,53.0,60.4,0.0,4.15,,,,,3.56,1.13
Oracle NetSuite,inventory_supply_chain,Inventory & Supply Chain Management,4.04,273.0,59.0,1.1,4.21,,,,,3.52,1.04
Oracle NetSuite,financial_reporting_analytics,Financial Reporting & Business Intelligence,4.42,41.0,70.7,0.0,4.02,2.43,87.0,11.5,43.7,3.42,0.85
Oracle NetSuite,payroll_hr_management,Payroll & HR Management,3.4,6.0,0.0,0.0,4.42,,,,,3.2,0.4
Oracle NetSuite,crm_customer_management,,,,,,,2.84,1.0,0.0,0.0,2.92,-0.16
Oracle NetSuite,financial_accounting_core,,,,,,,2.59,34.0,0.0,32.4,2.8,-0.41
Oracle NetSuite,accounts_payable_invoice_processing,,,,,,,2.49,31.0,12.9,48.4,2.74,-0.51
Oracle NetSuite,banking_cash_management,,,,,,,2.47,9.0,0.0,33.3,2.74,-0.53
Oracle NetSuite,implementation_complexity,,,,,,,2.47,192.0,30.2,67.7,2.74,-0.53
Oracle NetSuite,specialized_modules,,,,,,,2.31,24.0,8.3,62.5,2.66,-0.69
Oracle NetSuite,multi_entity_currency,,,,,,,2.22,12.0,16.7,58.3,2.61,-0.78
Oracle NetSuite,mobile_remote_access,,,,,,,2.17,2.0,0.0,50.0,2.58,-0.83
Oracle NetSuite,system_performance_reliability,,,,,,,2.0,27.0,11.1,85.2,2.5,-1.0
Oracle NetSuite,system_access_security,,,,,,,1.95,6.0,0.0,66.7,2.48,-1.05
Oracle NetSuite,customer_support_service,,,,,,,1.92,72.0,12.5,87.5,2.46,-1.08
Oracle NetSuite,user_interface_navigation,,,,,,,1.76,31.0,6.5,71.0,2.38,-1.24
Oracle NetSuite,user_training_learning,,,,,,,1.71,31.0,9.7,83.9,2.36,-1.29
Oracle NetSuite,customization_integration,,,,,,,1.7,37.0,5.4,89.2,2.35,-1.3
QuickBooks Desktop Pro,mobile_web_access,Mobile & Web Access,4.82,2.0,100.0,0.0,3.75,,,,,3.91,1.82
QuickBooks Desktop Pro,implementation_support,Implementation & Customer Support,4.61,1.0,100.0,0.0,5.0,,,,,3.8,1.61
QuickBooks Desktop Pro,user_experience_usability,User Experience & System Usability,4.44,2.0,100.0,0.0,4.5,,,,,3.72,1.44
QuickBooks Desktop Pro,core_financial_accounting,Core Financial & Accounting,4.12,4.0,100.0,0.0,4.75,,,,,3.56,1.12
QuickBooks Desktop Pro,product_evolution,Product Evolution & Updates,3.71,1.0,0.0,0.0,3.5,,,,,3.36,0.71
QuickBooks Desktop Pro,financial_accounting_core,,,,,,,2.85,4.0,0.0,25.0,2.92,-0.15
QuickBooks Desktop Pro,accounts_payable_invoice_processing,,,,,,,2.31,1.0,0.0,0.0,2.66,-0.69
QuickBooks Desktop Pro,mobile_remote_access,,,,,,,2.18,2.0,50.0,50.0,2.59,-0.82
QuickBooks Desktop Pro,banking_cash_management,,,,,,,2.13,1.0,0.0,0.0,2.56,-0.87
QuickBooks Desktop Pro,customer_support_service,,,,,,,1.98,1.0,0.0,100.0,2.49,-1.02
QuickBooks Desktop Pro,user_interface_navigation,,,,,,,1.19,1.0,0.0,100.0,2.09,-1.81
QuickBooks Enterprise,system_architecture_customization,System Architecture & Customization,4.99,1.0,100.0,0.0,4.0,,,,,4.0,1.99
QuickBooks Enterprise,system_integration_apis,System Integration & APIs,4.98,4.0,100.0,0.0,4.62,,,,,3.99,1.98
QuickBooks Enterprise,inventory_supply_chain,Inventory & Supply Chain Management,4.86,2.0,100.0,0.0,3.5,,,,,3.93,1.86
QuickBooks Enterprise,user_experience_usability,User Experience & System Usability,4.85,10.0,100.0,0.0,4.2,,,,,3.92,1.85
QuickBooks Enterprise,system_administration_governance,System Administration & Governance,4.43,1.0,100.0,0.0,5.0,,,,,3.72,1.43
QuickBooks Enterprise,mobile_web_access,Mobile & Web Access,4.22,1.0,100.0,0.0,5.0,,,,,3.61,1.22
QuickBooks Enterprise,sales_order_management,Sales & Order Management,3.86,3.0,33.3,0.0,4.83,,,,,3.43,0.86
QuickBooks Enterprise,core_financial_accounting,Core Financial & Accounting,3.8,22.0,54.5,4.5,4.2,,,,,3.4,0.8
QuickBooks Enterprise,specialized_modules,,,,,,,3.48,2.0,50.0,0.0,3.24,0.48
QuickBooks Enterprise,financial_reporting_analytics,Financial Reporting & Business Intelligence,4.76,4.0,100.0,0.0,4.75,1.65,2.0,0.0,100.0,3.2,0.41
QuickBooks Enterprise,payroll_hr_management,Payroll & HR Management,3.35,3.0,0.0,0.0,4.17,,,,,3.18,0.35
QuickBooks Enterprise,financial_accounting_core,,,,,,,2.95,16.0,6.2,6.2,2.98,-0.05
QuickBooks Enterprise,customer_support_service,,,,,,,2.44,4.0,25.0,75.0,2.72,-0.56
QuickBooks Enterprise,multi_entity_currency,,,,,,,2.21,3.0,0.0,33.3,2.6,-0.79
QuickBooks Enterprise,accounts_payable_invoice_processing,,,,,,,2.08,5.0,0.0,40.0,2.54,-0.92
QuickBooks Enterprise,system_access_security,,,,,,,2.05,3.0,33.3,66.7,2.52,-0.95
QuickBooks Enterprise,user_interface_navigation,,,,,,,1.86,5.0,20.0,80.0,2.43,-1.14
QuickBooks Enterprise,system_performance_reliability,,,,,,,1.23,3.0,0.0,100.0,2.12,-1.77
QuickBooks Enterprise,implementation_complexity,,,,,,,1.2,5.0,0.0,100.0,2.1,-1.8
QuickBooks Enterprise,mobile_remote_access,,,,,,,1.06,1.0,0.0,100.0,2.03,-1.94
QuickBooks Enterprise,banking_cash_management,,,,,,,1.03,1.0,0.0,100.0,2.02,-1.97
QuickBooks Enterprise,customization_integration,,,,,,,1.03,2.0,0.0,100.0,2.02,-1.97
QuickBooks Online,implementation_support,Implementation & Customer Support,5.0,2.0,100.0,0.0,4.5,,,,,4.0,2.0
QuickBooks Online,product_evolution,Product Evolution & Updates,4.96,1.0,100.0,0.0,3.0,,,,,3.98,1.96
QuickBooks Online,user_experience_usability,User Experience & System Usability,4.81,21.0,95.2,0.0,4.19,,,,,3.9,1.81
QuickBooks Online,mobile_web_access,Mobile & Web Access,4.74,8.0,87.5,0.0,3.56,,,,,3.87,1.74
QuickBooks Online,system_administration_governance,System Administration & Governance,4.7,5.0,100.0,0.0,4.1,,,,,3.85,1.7
QuickBooks Online,sales_order_management,Sales & Order Management,4.67,4.0,100.0,0.0,4.62,,,,,3.84,1.67
QuickBooks Online,small_business_focus,Small Business Suitability,4.63,18.0,94.4,0.0,4.39,,,,,3.82,1.63
QuickBooks Online,core_financial_accounting,Core Financial & Accounting,4.03,67.0,50.7,0.0,4.54,,,,,3.52,1.03
QuickBooks Online,financial_reporting_analytics,Financial Reporting & Business Intelligence,4.56,1.0,100.0,0.0,4.5,2.27,7.0,0.0,57.1,3.42,0.83
QuickBooks Online,payroll_hr_management,Payroll & HR Management,3.62,7.0,14.3,0.0,4.36,,,,,3.31,0.62
QuickBooks Online,system_integration_apis,System Integration & APIs,3.13,1.0,0.0,0.0,2.5,,,,,3.06,0.13
QuickBooks Online,specialized_modules,,,,,,,3.0,5.0,60.0,40.0,3.0,0.0
QuickBooks Online,system_performance_reliability,,,,,,,2.98,9.0,55.6,44.4,2.99,-0.02
QuickBooks Online,financial_accounting_core,,,,,,,2.87,51.0,7.8,11.8,2.94,-0.13
QuickBooks Online,accounts_payable_invoice_processing,,,,,,,2.4,8.0,12.5,37.5,2.7,-0.6
QuickBooks Online,customer_support_service,,,,,,,2.35,26.0,26.9,73.1,2.68,-0.65
