product_name,macro_group,group_label,likes_rating,likes_n_reviews,likes_pct_positive,likes_pct_negative,avg_overall_rating,dislikes_rating,dislikes_n_reviews,dislikes_pct_positive,dislikes_pct_negative,net_rating,sentiment_gap
Acumatica,multi_entity_currency,,,,,,,4.16,1,100.0,0.0,3.58,1.16
Acumatica,implementation_complexity,,,,,,,3.02,44,47.7,50.0,3.01,0.02
Acumatica,sales_order_management,,,,,,,2.8,1,0.0,0.0,2.9,-0.2
Acumatica,accounts_payable_invoice_processing,,,,,,,2.66,6,16.7,50.0,2.83,-0.34
Acumatica,specialized_modules,,,,,,,2.66,13,30.8,53.8,2.83,-0.34
Acumatica,financial_accounting_core,,,,,,,2.54,9,0.0,44.4,2.77,-0.46
Acumatica,banking_cash_management,,,,,,,2.53,2,0.0,50.0,2.76,-0.47
Acumatica,user_interface_navigation,,,,,,,2.31,5,40.0,60.0,2.66,-0.69
Acumatica,customer_support_service,,,,,,,2.3,5,20.0,80.0,2.65,-0.7
Acumatica,financial_reporting_analytics,,,,,,,2.28,13,0.0,53.8,2.64,-0.72
Acumatica,customization_integration,,,,,,,2.02,16,18.8,75.0,2.51,-0.98
Acumatica,system_access_security,,,,,,,1.93,1,0.0,100.0,2.46,-1.07
Acumatica,mobile_remote_access,,,,,,,1.9,1,0.0,100.0,2.45,-1.1
Acumatica,user_training_learning,,,,,,,1.35,3,0.0,100.0,2.17,-1.65
Acumatica,system_performance_reliability,,,,,,,1.16,2,0.0,100.0,2.08,-1.84
Certinia,customization_integration,,,,,,,4.01,2,50.0,0.0,3.5,1.01
Certinia,sales_order_management,,,,,,,3.97,1,0.0,0.0,3.49,0.97
Certinia,user_training_learning,,,,,,,3.76,2,50.0,50.0,3.38,0.76
Certinia,system_performance_reliability,,,,,,,3.53,2,50.0,50.0,3.26,0.53
Certinia,financial_accounting_core,,,,,,,2.62,5,0.0,20.0,2.81,-0.38
Certinia,specialized_modules,,,,,,,2.6,1,100.0,0.0,2.8,-0.4
Certinia,customer_support_service,,,,,,,2.51,3,33.3,66.7,2.76,-0.49
Certinia,implementation_complexity,,,,,,,1.63,5,0.0,100.0,2.32,-1.37
Certinia,financial_reporting_analytics,,,,,,,1.56,4,0.0,100.0,2.28,-1.44
Intuit Enterprise Suite,system_performance_reliability,,,,,,,4.45,1,100.0,0.0,3.72,1.45
Intuit Enterprise Suite,sales_order_management,,,,,,,4.02,1,100.0,0.0,3.51,1.02
Intuit Enterprise Suite,financial_reporting_analytics,,,,,,,3.53,1,0.0,0.0,3.26,0.53
Intuit Enterprise Suite,customer_support_service,,,,,,,1.46,1,0.0,100.0,2.23,-1.54
Intuit Enterprise Suite,specialized_modules,,,,,,,1.35,1,0.0,100.0,2.17,-1.65
Microsoft Dynamics 365,financial_accounting_core,,,,,,,2.93,3,0.0,0.0,2.96,-0.07
Microsoft Dynamics 365,customer_support_service,,,,,,,2.79,2,50.0,50.0,2.9,-0.21
