product_name,macro_group,group_label,aspect_term,text_field,avg_rating,n_reviews,n_sentences,pct_positive,pct_neutral,pct_negative,avg_overall_rating,pct_incentivized
Acumatica,accounts_payable_invoice_processing,Accounts Payable & Invoice Processing,accounts payable invoice processing,dislikes,2.66,6,10,16.7,33.3,50.0,4.67,33.3
Acumatica,banking_cash_management,Banking & Cash Management,banking cash management,dislikes,2.53,2,2,0.0,50.0,50.0,4.5,0.0
Acumatica,customer_support_service,Customer Support & Service Quality,customer support service quality,dislikes,2.3,5,26,20.0,0.0,80.0,3.7,20.0
Acumatica,customization_integration,Customization & Third-Party Integration,customization third-party integration,dislikes,2.02,16,24,18.8,6.2,75.0,4.5,62.5
Acumatica,financial_accounting_core,Financial Accounting & General Ledger,financial accounting general ledger,dislikes,2.54,9,28,0.0,55.6,44.4,3.56,33.3
Acumatica,financial_reporting_analytics,Financial Reporting & Business Intelligence,financial reporting business intelligence,dislikes,2.28,13,23,0.0,46.2,53.8,4.42,30.8
Acumatica,implementation_complexity,"Implementation, Setup & Cost Management",implementation setup cost management,dislikes,3.02,44,145,47.7,2.3,50.0,4.38,43.2
Acumatica,mobile_remote_access,Mobile & Remote Access,mobile remote access,dislikes,1.9,1,1,0.0,0.0,100.0,5.0,100.0
Acumatica,multi_entity_currency,Multi-Entity & Currency Management,multi-entity currency management,dislikes,4.16,1,1,100.0,0.0,0.0,5.0,0.0
Acumatica,sales_order_management,Sales Order Management,sales order management,dislikes,2.8,1,2,0.0,100.0,0.0,5.0,100.0
Acumatica,specialized_modules,Specialized Module Functionality,specialized module functionality,dislikes,2.66,13,22,30.8,15.4,53.8,4.62,38.5
Acumatica,system_access_security,System Access & Security Management,system access security management,dislikes,1.93,1,3,0.0,0.0,100.0,4.5,100.0
Acumatica,system_performance_reliability,System Performance & Reliability,system performance reliability,dislikes,1.16,2,2,0.0,0.0,100.0,4.5,100.0
Acumatica,user_interface_navigation,User Interface & System Navigation,user interface system navigation,dislikes,2.31,5,5,40.0,0.0,60.0,4.3,60.0
Acumatica,user_training_learning,User Training & Learning Curve,user training learning curve,dislikes,1.35,3,4,0.0,0.0,100.0,4.5,66.7
Certinia,customer_support_service,Customer Support & Service Quality,customer support service quality,dislikes,2.51,3,6,33.3,0.0,66.7,3.67,0.0
Certinia,customization_integration,Customization & Third-Party Integration,customization third-party integration,dislikes,4.01,2,2,50.0,50.0,0.0,4.0,0.0
Certinia,financial_accounting_core,Financial Accounting & General Ledger,financial accounting general ledger,dislikes,2.62,5,17,0.0,80.0,20.0,3.7,0.0
Certinia,financial_reporting_analytics,Financial Reporting & Business Intelligence,financial reporting business intelligence,dislikes,1.56,4,4,0.0,0.0,100.0,4.38,0.0
Certinia,implementation_complexity,"Implementation, Setup & Cost Management",implementation setup cost management,dislikes,1.63,5,19,0.0,0.0,100.0,3.9,20.0
Certinia,sales_order_management,Sales Order Management,sales order management,dislikes,3.97,1,1,0.0,100.0,0.0,5.0,0.0
Certinia,specialized_modules,Specialized Module Functionality,specialized module functionality,dislikes,2.6,1,2,100.0,0.0,0.0,3.5,0.0
Certinia,system_performance_reliability,System Performance & Reliability,system performance reliability,dislikes,3.53,2,2,50.0,0.0,50.0,3.5,0.0
Certinia,user_training_learning,User Training & Learning Curve,user training learning curve,dislikes,3.76,2,4,50.0,0.0,50.0,3.75,0.0
Intuit Enterprise Suite,customer_support_service,Customer Support & Service Quality,customer support service quality,dislikes,1.46,1,3,0.0,0.0,100.0,5.0,0.0
Intuit Enterprise Suite,financial_reporting_analytics,Financial Reporting & Business Intelligence,financial reporting business intelligence,dislikes,3.53,1,2,0.0,100.0,0.0,4.0,0.0
Intuit Enterprise Suite,sales_order_management,Sales Order Management,sales order management,dislikes,4.02,1,1,100.0,0.0,0.0,5.0,0.0
Intuit Enterprise Suite,specialized_modules,Specialized Module Functionality,specialized module functionality,dislikes,1.35,1,1,0.0,0.0,100.0,4.0,0.0
Intuit Enterprise Suite,system_performance_reliability,System Performance & Reliability,system performance reliability,dislikes,4.45,1,1,100.0,0.0,0.0,5.0,0.0
