product_name,topic_id,doc_count,top_keywords
Acumatica,9,331,"acumatica, initial setup, initial, setup, aia, setup wasn, equipment, document, partners, growing"
Acumatica,0,253,"quickbooks, quickbooks online, invoices, invoice, payroll, accounting, online, reporting, bank, report"
Acumatica,2,101,"customization, navigate, customizations, interface, navigation, ui, hard navigate, user interface, menu, customize"
Acumatica,11,69,"inventory, inventory management, manufacturing, implementation, management, project management, stock, shipping, orders, inventory control"
Acumatica,4,60,"dislikes, dislike, dislike software, like dislike, don dislikes, think dislike, isn dislike, say dislike, don dislike, really dislike"
Acumatica,1,56,"sap, cloud, erp, s4, price, expensive, cost, cloud based, high, pricing"
Acumatica,7,56,"learning, curve, learning curve, learn, training, steep, beginners, videos, learn use, hard learn"
Acumatica,21,37,"generic, tables, gi, table, inquiry, sql, pull data, queries, database, generic inquiry"
Acumatica,34,37,"var, rocky, reseller, acumatica, understood, decisions, relationship, wasn, eventually, quicker"
Acumatica,19,28,"dashboard, dashboards, charts, dynamic, summary, graphs, pages, like sales, homepage, whistles"
Acumatica,15,27,"far, moment, works, great product, really good, going, enjoy, good, perfect, perfectly"
Acumatica,12,26,"updates, update, error, glitches, errors, new updates, frequent, glitchy, occur, fix"
Acumatica,8,23,"customer service, chat, service, customer, customer support, support, phone, reach, response, ticket"
Acumatica,25,19,"upgrade, upgrades, yearly, upgrade process, cycle, release, year, testing, old version, version"
Acumatica,14,18,"integration, integrations, party applications, party, applications, integrating, integration party, party tools, party software, external"
Acumatica,29,17,"crm, marketing, leads, hand, seamless, nearly impossible, issues don, issues having, asset register, customer data"
Acumatica,52,16,"wms, robust, intelligent, plugin, box, process like, sucks, robust features, slips, par"
Acumatica,60,16,"field service, field, calendar, board, service, module, team members, members, module needs, services"
Acumatica,30,15,"security, permission, rights, permissions, user permissions, roles, needs better, sets, object, broad"
Acumatica,16,13,"downsides, downside, disadvantages, human, haven, pricing high, disadvantage, drawbacks, major, discover"
Acumatica,20,12,"complaints, far, don issues, complain, haven, far complaints, haven experienced, issues using, meets, concerns"
Acumatica,26,12,"set, difficult set, setup, little complicated, setup process, initial setup, smooth sailing, setup time, sailing, onboarding"
Acumatica,27,11,"modules, bundle, certain modules, additional modules, add modules, module, incomplete, add ons, ons, additional"
Acumatica,40,9,"approval, approvals, approved, completing, audit, notification, pending, features intuitive, think user, options bit"
Acumatica,36,8,"license, licenses, licensing, model, party tools, premise, essential, affordable, necessity, covers"
Acumatica,37,8,"time tracking, time entry, 25, hours, mobile app, history, comments, tracking, submit, app"
Acumatica,18,7,"multi user, chart, user mode, chart accounts, accounts, multi, mode, multiple users, single user, log"
Acumatica,22,7,"help section, help, section, answers, questions, articles, answer, information looking, help articles, solving"
Acumatica,39,7,"fixed asset, asset module, asset, fixed, fixed assets, prepaid, module, assets, asset management, assets module"
Acumatica,51,7,"steps complete, steps, step, actions, end users, difficult build, safety, execute, finish, ways things"
Acumatica,38,6,"mobile, mobile app, app, cell, app use, web, phone, apps, device, great like"
Acumatica,47,5,"purchase order, orders, sales order, purchase, purchase orders, order, sales orders, sales, drive, purchases"
Acumatica,54,5,"printing, print, bc, checks, installed, documents, nav, 18, reprint, certain screens"
Acumatica,56,5,"save, saving, avoid, auto, module does, upper, truth, using application, repeatedly, lose"
Acumatica,59,5,"ar, ap, ap ar, ap module, refund, module doesn, compared systems, low code, customers vendors, answered"
Acumatica,61,5,"workflow, workflows, complex use, partner support, enhancing, user adoption, hard set, feel unintuitive, workflows require, users certain"
Acumatica,13,4,"search, searches, saved, saved searches, saved search, search bar, word, bar, search feature, fields"
Acumatica,32,4,"ai, ai features, help center, reviews, automate, automation, pretty great, hasn worked, accurate, added"
Acumatica,50,4,"head, comes mind, think, moment, mind, think better, currently, expectations, really think, met"
Acumatica,6,3,"sage, sage intacct, intacct, intact, university, interface feel, unintuitive, learning curve, new users, curve"
Acumatica,17,3,"dynamics, 365, business central, microsoft, central, gp, ms, business, finances, disadvantages"
Acumatica,23,3,"password, log, authentication, login, logs, logged, logging, factor, time log, sessions"
Acumatica,24,3,"currency, currencies, multi currency, multi, multicurrency, usd, rates, intercompany, consolidate, consolidation"
Acumatica,46,3,"audit, trail, audit trail, editable, changed, think improve, areas like, change, tag, granularity"
Acumatica,31,2,"subscription, plan, ads, subscriptions, subscription based, pricing model, subscription fees, subscription costs, monthly, free"
Acumatica,33,2,"journal, journal entries, entries, journals, journal entry, postings, entry, posted, posting, bit complicated"
Acumatica,43,2,"csv, import, imports, importing, loaded, addressing, extremely helpful, party integration, file, ns"
Acumatica,58,2,"1099, inactive, year, produce, needed help, tired, tremendous, disruptions, including, giant"
Acumatica,42,1,"features add, features, features intuitive, scary, layer, best option, aggressive, impacts, requisitions, packing"
Acumatica,44,1,"uk, country, terminology, countries, english, centric, patch, american, wish option, work better"
Acumatica,57,1,"shortcuts, keys, short, cut, work use, highlighted, features use, enables, filled, immediate"
Acumatica,62,1,"mac, windows, pc, apple, os, devices, style, outlook, compatible, version"
Certinia,0,160,"quickbooks, quickbooks online, invoices, invoice, payroll, accounting, online, reporting, bank, report"
Certinia,1,32,"sap, cloud, erp, s4, price, expensive, cost, cloud based, high, pricing"
Certinia,2,19,"customization, navigate, customizations, interface, navigation, ui, hard navigate, user interface, menu, customize"
Certinia,7,14,"learning, curve, learning curve, learn, training, steep, beginners, videos, learn use, hard learn"
Certinia,4,10,"dislikes, dislike, dislike software, like dislike, don dislikes, think dislike, isn dislike, say dislike, don dislike, really dislike"
Certinia,8,10,"customer service, chat, service, customer, customer support, support, phone, reach, response, ticket"
Certinia,15,6,"far, moment, works, great product, really good, going, enjoy, good, perfect, perfectly"
Certinia,11,5,"inventory, inventory management, manufacturing, implementation, management, project management, stock, shipping, orders, inventory control"
Certinia,20,5,"complaints, far, don issues, complain, haven, far complaints, haven experienced, issues using, meets, concerns"
Certinia,12,3,"updates, update, error, glitches, errors, new updates, frequent, glitchy, occur, fix"
Certinia,26,3,"set, difficult set, setup, little complicated, setup process, initial setup, smooth sailing, setup time, sailing, onboarding"
Certinia,30,3,"security, permission, rights, permissions, user permissions, roles, needs better, sets, object, broad"
Certinia,44,3,"uk, country, terminology, countries, english, centric, patch, american, wish option, work better"
Certinia,14,2,"integration, integrations, party applications, party, applications, integrating, integration party, party tools, party software, external"
Certinia,19,2,"dashboard, dashboards, charts, dynamic, summary, graphs, pages, like sales, homepage, whistles"
Certinia,24,2,"currency, currencies, multi currency, multi, multicurrency, usd, rates, intercompany, consolidate, consolidation"
Certinia,6,1,"sage, sage intacct, intacct, intact, university, interface feel, unintuitive, learning curve, new users, curve"
Certinia,13,1,"search, searches, saved, saved searches, saved search, search bar, word, bar, search feature, fields"
Certinia,18,1,"multi user, chart, user mode, chart accounts, accounts, multi, mode, multiple users, single user, log"
Certinia,21,1,"generic, tables, gi, table, inquiry, sql, pull data, queries, database, generic inquiry"
Certinia,22,1,"help section, help, section, answers, questions, articles, answer, information looking, help articles, solving"
Certinia,25,1,"upgrade, upgrades, yearly, upgrade process, cycle, release, year, testing, old version, version"
Certinia,27,1,"modules, bundle, certain modules, additional modules, add modules, module, incomplete, add ons, ons, additional"
Certinia,29,1,"crm, marketing, leads, hand, seamless, nearly impossible, issues don, issues having, asset register, customer data"
Certinia,33,1,"journal, journal entries, entries, journals, journal entry, postings, entry, posted, posting, bit complicated"
Certinia,37,1,"time tracking, time entry, 25, hours, mobile app, history, comments, tracking, submit, app"
Certinia,42,1,"features add, features, features intuitive, scary, layer, best option, aggressive, impacts, requisitions, packing"
Certinia,46,1,"audit, trail, audit trail, editable, changed, think improve, areas like, change, tag, granularity"
Certinia,49,1,"budget, budgeting, budgets, compare, manager, work arounds, arounds, percentage, does support, planning"
Certinia,50,1,"head, comes mind, think, moment, mind, think better, currently, expectations, really think, met"
Certinia,51,1,"steps complete, steps, step, actions, end users, difficult build, safety, execute, finish, ways things"
Certinia,54,1,"printing, print, bc, checks, installed, documents, nav, 18, reprint, certain screens"
Certinia,55,1,"consolidation, entity, entities, consolidate, large volumes, multi entity, multiple entities, structures, volumes, intercompany"
Certinia,59,1,"ar, ap, ap ar, ap module, refund, module doesn, compared systems, low code, customers vendors, answered"
Certinia,62,1,"mac, windows, pc, apple, os, devices, style, outlook, compatible, version"
Intuit Enterprise Suite,0,8,"quickbooks, quickbooks online, invoices, invoice, payroll, accounting, online, reporting, bank, report"
Intuit Enterprise Suite,16,3,"downsides, downside, disadvantages, human, haven, pricing high, disadvantage, drawbacks, major, discover"
Intuit Enterprise Suite,1,1,"sap, cloud, erp, s4, price, expensive, cost, cloud based, high, pricing"
Intuit Enterprise Suite,2,1,"customization, navigate, customizations, interface, navigation, ui, hard navigate, user interface, menu, customize"
Intuit Enterprise Suite,4,1,"dislikes, dislike, dislike software, like dislike, don dislikes, think dislike, isn dislike, say dislike, don dislike, really dislike"
Intuit Enterprise Suite,7,1,"learning, curve, learning curve, learn, training, steep, beginners, videos, learn use, hard learn"
Intuit Enterprise Suite,12,1,"updates, update, error, glitches, errors, new updates, frequent, glitchy, occur, fix"
Intuit Enterprise Suite,48,1,"credit card, bulk, card, credit, paid, transactions, vendor names, module doesn, add feature, like pay"
