product_name,topic_id,doc_count,label,top_keywords
Acumatica,9,372,initial setup | initial | setup,"initial setup, initial, setup, implementation, wasn, team, orders, issues, help, data"
Acumatica,1,148,reports | reporting | report,"reports, reporting, report, excel, custom, custom reports, data, financial, create, export"
Acumatica,2,101,say | issues | dont,"say, issues, dont, disliked, isn, major, encountered"
Acumatica,3,91,cost | business | expensive,"cost, business, expensive, price, small, pricing, high, businesses, companies, users"
Acumatica,17,80,customization | customizations | customize,"customization, customizations, customize, customizable, custom, options, customisation, customized, forms, technical"
Acumatica,20,73,inventory | orders | inventory management,"inventory, orders, inventory management, order, sales, management, items, purchase, vendor, item"
Acumatica,4,68,accounting | payroll | financial,"accounting, payroll, financial, accountant, expenses, expense, accountants, budget, functions, management"
Acumatica,24,66,implementation | complexity | complex,"implementation, complexity, complex, implement, implementation process, steps, workflow, complicated, processes, workflows"
Acumatica,19,65,learning | training | curve,"learning, training, curve, learning curve, learn, steep, steep learning, videos, takes"
Acumatica,10,59,interface | navigate | friendly,"interface, navigate, friendly, user friendly, user interface, navigation, intuitive, outdated, layout"
Acumatica,18,54,updates | update | upgrade,"updates, update, upgrade, upgrades, version, changes, bugs, release, updating, year"
Acumatica,11,46,slow | load | loading,"slow, load, loading, takes, times, speed, performance, bit slow, lags, lag"
Acumatica,23,46,love | enjoy | point,"love, enjoy, point, easy, sure, actually, going, let"
Acumatica,37,44,project | field | projects,"project, field, projects, field service, project management, module, management, service, calendar, tracking"
Acumatica,30,37,error | errors | glitches,"error, errors, glitches, bugs, issues, fix, error messages, correct, messages, glitchy"
Acumatica,15,33,log | security | user mode,"log, security, user mode, mode, login, multi user, roles, users, multi, password"
Acumatica,28,33,setup | set | initial,"setup, set, initial, initial setup, complicated, took, onboarding, instructions, easy, configuration"
Acumatica,31,33,dashboard | dashboards | charts,"dashboard, dashboards, charts, data, useful, dynamic, reports, plan, summary, graphs"
Acumatica,43,33,manufacturing | construction | limitations,"manufacturing, construction, limitations, module, functionality, industries, scheduling, industry, development, specific"
Acumatica,8,30,invoice | invoices | payment,"invoice, invoices, payment, credit, payments, invoicing, paid, bills, date, vendor"
Acumatica,16,30,integration | integrations | party,"integration, integrations, party, support, integrating, issues, products, years, integrate, applications"
Acumatica,46,30,inquiries | generic | data,"inquiries, generic, data, tables, inquiry, queries, pull data, pull, pulling, table"
Acumatica,33,25,crm | integration | email,"crm, integration, email, marketing, mail, templates, outlook, employees, leads, emails"
Acumatica,32,22,month | entry | reconciling,"month, entry, reconciling, entries, dates, date, post, auto, description"
Acumatica,14,21,bank | reconciliation | currency,"bank, reconciliation, currency, feeds, bank feeds, transactions, account, currencies, bank reconciliation, bank account"
Acumatica,38,20,categories | learn | certain,"categories, learn, certain, areas, simplified, understand"
Acumatica,13,19,support | customer | customer service,"support, customer, customer service, service, customer support, phone, chat, help, issue, issues"
Acumatica,34,18,modules | add ons | ons,"modules, add ons, ons, module, additional, cost, bundle, additional modules, certain modules, expensive"
Acumatica,51,18,wms | robust | box,"wms, robust, box, order, nearly, license, locations, doesn, native, module"
Acumatica,26,17,help | documentation | questions,"help, documentation, questions, section, helpful, answers, answer, articles, specific"
Acumatica,35,17,transactions | transaction | delete,"transactions, transaction, delete, deleted, edit, undo, entries, mistake, option"
Acumatica,25,16,version | app | mobile,"version, app, mobile, mac, mobile app, windows, web, apps, functionality, computer"
Acumatica,22,12,based | internet | access,"based, internet, access, offline, internet connection, version, connection, data, storage, server"
Acumatica,27,12,sync | save | data,"sync, save, data, syncing, backups, backup, saving, computer, lose, automatically"
Acumatica,40,10,accounts | account | chart,"accounts, account, chart, sub, chart accounts, multiple, company, accounts payable, payable, linking"
Acumatica,45,10,check | aging | ap ar,"check, aging, ap ar, vendor, bills, ar ap, module, printing"
Acumatica,54,10,mrp | planning | wise,"mrp, planning, wise, capabilities, write, definitely improved, setup pretty, wizard, manage"
Acumatica,41,9,consolidation | entity | entities,"consolidation, entity, entities, companies, multiple entities, multiple, group, company, consolidate, subsidiary"
Acumatica,21,8,search | searches | saved,"search, searches, saved, saved searches, fields, searching, saved search, search bar, word"
Acumatica,42,8,fixed | fixed asset | asset,"fixed, fixed asset, asset, asset module, module, fixed assets, prepaid, assets, asset management, depreciation"
Acumatica,53,8,pos | aging | fifo,"pos, aging, fifo, costing, inbuilt, link, retail, doesnt"
Acumatica,29,6,journal | journal entries | ledger,"journal, journal entries, ledger, entries, journal entry, general ledger, general, entry, journals, posted"
Acumatica,49,6,audit | trail | audit trail,"audit, trail, audit trail, changed, control, changes, deleted, logs"
Acumatica,55,6,api | calls | apis,"api, calls, apis, documentation, access, limited, little bit, development, database, track"
Acumatica,39,5,automation | reviews | reconciled,"automation, reviews, reconciled, automate, accurate, improve"
Acumatica,47,5,import | csv | imports,"import, csv, imports, importing, file, data, error, upload, export, importing data"
Acumatica,50,5,printing | print | checks,"printing, print, checks, check, printed, memo, minimize, batch, order, information"
Acumatica,36,4,tax | vat | revenue,"tax, vat, revenue, taxes, revenue recognition, year, recognition, report, return"
Acumatica,57,4,dark | color | eyes,"dark, color, eyes, mode, light, text, option, little bit, customizable, green"
Acumatica,0,3,version | accounting | enterprise,"version, accounting, enterprise, support, customer, quick, payroll, years, business"
Acumatica,7,3,learning | learning curve | curve,"learning, learning curve, curve, customer, feel, reports, accounting, new users, helpful, team"
Acumatica,12,3,complex | integration | implementation,"complex, integration, implementation, systems, complexity, cost, premise, users, business, compared"
Acumatica,52,3,windows | open | window,"windows, open, window, tabs, windows open, screen, tab, multiple, new tab, browser"
Acumatica,56,3,say | opinion | dont,"say, opinion, dont, criticism, impressed, accross, reversal, pricy, noticeable, havent"
Acumatica,5,1,implementation | support | team,"implementation, support, team, training, challenging, fields, searches, setup, data, feel"
Acumatica,48,1,country | english | terminology,"country, english, terminology, language, countries, consultants, versions, speak"
Acumatica,58,1,migration | migrating | conversion,"migration, migrating, conversion, transferring, com, premise, transfer, people, team, exit"
Certinia,1,67,reports | reporting | report,"reports, reporting, report, excel, custom, custom reports, data, financial, create, export"
Certinia,4,63,accounting | payroll | financial,"accounting, payroll, financial, accountant, expenses, expense, accountants, budget, functions, management"
Certinia,3,30,cost | business | expensive,"cost, business, expensive, price, small, pricing, high, businesses, companies, users"
Certinia,8,26,invoice | invoices | payment,"invoice, invoices, payment, credit, payments, invoicing, paid, bills, date, vendor"
Certinia,11,21,slow | load | loading,"slow, load, loading, takes, times, speed, performance, bit slow, lags, lag"
Certinia,2,18,say | issues | dont,"say, issues, dont, disliked, isn, major, encountered"
Certinia,19,17,learning | training | curve,"learning, training, curve, learning curve, learn, steep, steep learning, videos, takes"
Certinia,24,17,implementation | complexity | complex,"implementation, complexity, complex, implement, implementation process, steps, workflow, complicated, processes, workflows"
Certinia,17,16,customization | customizations | customize,"customization, customizations, customize, customizable, custom, options, customisation, customized, forms, technical"
Certinia,10,14,interface | navigate | friendly,"interface, navigate, friendly, user friendly, user interface, navigation, intuitive, outdated, layout"
Certinia,18,12,updates | update | upgrade,"updates, update, upgrade, upgrades, version, changes, bugs, release, updating, year"
Certinia,14,11,bank | reconciliation | currency,"bank, reconciliation, currency, feeds, bank feeds, transactions, account, currencies, bank reconciliation, bank account"
